,row_coord_dim1,row_coord_dim2
CE-R-1,-2.4712101847366594,-1.978472899429292
CE-R-2,-1.380036759364293,0.1957929927018673
CE-R-3,1.15739824730849,0.3263058696564621
CE-R-4,2.4031755905793046,0.5083645981838066
CE-U-1,-7.651230662835144,-0.9215870679240736
CE-U-2,-6.113885971588106,2.0988713573461815
CE-U-3,-3.36173939661521,2.829100180467896
CE-U-4,-1.324081921217079,2.224947987310912
CW-R-1,1.548058650049527,-1.2812401316590243
CW-R-2,2.6780731240544307,-0.7817662960030693
CW-R-3,3.00802401273047,-0.3453961490805292
CW-R-4,3.643770779805659,0.36440519148562966
CW-U-1,-1.7555193764412635,-1.8955631189373774
CW-U-2,-0.388160056864617,1.2282408687093038
CW-U-3,0.6223343631037435,0.9365501365801107
CW-U-4,2.0068353496472993,1.0018875715703002
GT-R-1,0.16818155477406002,-1.1933743978174207
GT-R-2,0.8773612814647936,-0.43152590548665515
GT-R-3,0.6755500213661474,0.3314826680751516
GT-R-4,3.0954555190451956,-0.3233909623571741
GT-U-1,-8.225271146239761,-1.1890674538271944
GT-U-2,-4.825729971124233,2.6999053111138567
GT-U-3,-1.3917512173818989,2.0903574917422234
GT-U-4,0.5196601140468061,1.337146619965987
NE-R-1,0.6704678135629135,-1.8225421891676474
NE-R-2,1.490880750983653,-0.09051309484618816
NE-R-3,2.271611702010599,0.29982938286035826
NE-R-4,2.7629390143763017,0.18655400041135348
NE-U-1,-1.8234100069961787,-1.1065692920567587
NE-U-2,-1.2823290115278052,0.9978536367712795
NE-U-3,-0.04114788053528684,1.4899205824655561
NE-U-4,2.385128342185424,0.05064998096824636
NW-R-1,2.233725046626947,-1.1860913543161722
NW-R-2,2.6566900829099893,-0.5019247612682889
NW-R-3,3.0733423368495725,0.5211011501204739
NW-R-4,2.7276536961228075,0.6663285425099169
NW-U-1,-1.1634210721052312,-1.0429818520783805
NW-U-2,-0.4856468684180404,0.6614791628435508
NW-U-3,0.7369941135845656,1.8125872984665667
NW-U-4,1.0214065645056216,1.2395379799386799
SE-R-1,-0.17713194112605846,-3.2279006145720626
SE-R-2,2.331804194291114,-0.9836896188289775
SE-R-3,1.1332713864094652,-0.48866624476434906
SE-R-4,3.04437849083346,-0.2668797141584028
SE-U-1,-5.652134692445749,-3.080581459935909
SE-U-2,-3.669908261292921,0.10520052468273358
SE-U-3,-1.8795622126471052,0.5905273690240135
SE-U-4,0.09811571959924581,0.25375179923598407
SW-R-1,0.8925392610705958,-2.2970131924349557
SW-R-2,1.3346605904856295,-0.8941688393117764
SW-R-3,1.777429513659479,0.25465791979068875
SW-R-4,2.3234129184958885,0.24000002417369834
SW-U-1,-1.4027387993658134,-1.9211474562109017
SW-U-2,-1.6391982896041497,-0.10364242103966374
SW-U-3,-0.6654251851649208,1.1651139704215583
SW-U-4,1.4003407390983211,0.6472443179178715
